Stamp,Name,Category,Contact,Address,Town,PostCode,Email,Telephone,Website,Twitter,Facebook,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Services
"51.7429737324413 -3.37716250855327|Court Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T09:31:47-04:00",New Interior Design,Shopping,Andrew Denton ,19 lower high street,Merthyr Tydfil,Cf47 8eb,,01685 268281,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,1pm,,,"Kitchens, bedrooms, bathrooms interior fittings"
"51.7463464481318 -3.37925670370568|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:57:03-04:00",Central bus station cafe ,Eating and Drinking,Sharon hellard,Bus station,Merthyr Tydfil,Cf47 1bb,jj1197@hotmail.com,01685 269367,,@,No,5am,4pm,5am,4pm,5am,4pm,5am,4pm,5am,4pm,5am,4pm,,,"Hot, cold drinks, hot meals, salads, snacks"
"51.74701667024 -3.37870974058315|Post Office Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:38:43-04:00",Social services,Services,,Post office lane,Merthyr Tydfil,Cf47 8bf,,01685 724500,http://www.direct.gov,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,4pm,,,,,"Children, adults, vulnerability, financial help, social workers, general public services "
"51.7466225346033 -3.37891705757906|Post Office Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:55:42-04:00",Ann's flowers ,Shopping,Mrs balstone,6 Glebeland street,Merthyr Tydfil,Cf47 8au,,01685 382824,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Fresh flowers, deliveries"
"51.7440077132564 -3.37824898074967|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:11:52-04:00",Canarios Brazilian Restaurant ,Eating and Drinking,Marcio Casimiro,143 high street,Merthyr Tydfil,Cf47 8dp,mic.gales@hotmail.com,01685 380695,,@,No,,,11am,11pm,11am,11pm,11am,11pm,11am,11pm,11am,11pm,11am,4pm,"Alcohol, soft drinks, hot drinks, Brazilian meals "
"51.7467786778851 -3.37916933465822|Glebeland Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:04:09-04:00",Hair by deborah ,Things To Do,Deborah jones ,10 Glebeland street,Merthyr Tydfil,Cf47 8au,,01685 383091,,@,No,,,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,3pm,,,"Ladies, gents, children's hairdressing "
"51.7441250966928 -3.37856048564419|Swan Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:42:32-04:00",Moneyline Cymru ,Services,Paul hillberg,"Unit 1, Picton house, swan street",Merthyr Tydfil,Cf47 8eu,paul.hillberg@elmline.co.uk,01685 373375,http://www.elmline.co.uk,@,Yes,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,,,"Loans, savings, financial advice "
"51.7466031643802 -3.37894359267194|Post Office Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:01:45-04:00",4 sure Wales,Services,Stephen bew,7 glebeland street ,Merthyr Tydfil,Cf47 8au,steph@4surewales.co.uk,01685 373311,http://www.4surewales.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,12pm,,,"General insurances, house, car, travel, liability, business "
"51.7422250173545 -3.37698602475054|Yew Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T09:24:06-04:00",Fountain shop,Shopping,Steve jones ,14 lower high street,Merthyr Tydfil,Cf47 8eb,fountainshopltd@live.co.uk,01685 385386,,@,Yes,6am,11pm,6am,11pm,6am,11pm,6am,11pm,6am,11pm,6am,11pm,6am,11pm,"Off licence, bakery, groceries, frozen food, soft drinks, confectionary, pet foods, household goods, ATM, lottery, cigarettes, magazines, newspapers "
"51.7426439430298 -3.37766503307082|Court Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T09:27:14-04:00",Autotrade,Shopping,Richard Griffiths ,16 lower high street,Merthyr Tydfil,Cf47 8eb,,01685 384451,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,1pm,,,Car parts
"51.742010840541 -3.3770749678428|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T08:59:43-04:00",Merthyr Tydfil ex servicemens club,Eating and Drinking,Steve crane,10 lower high street,Merthyr Tydfil,Cf47 8eb,,01685 722807,,@,Yes,12pm,12am,12pm,12am,12pm,12am,12pm,12am,12pm,12am,12pm,12am,12pm,11am,"Alcohol, soft drinks, bar snacks, entertainment, bingo, tote "
"51.7434635680865 -3.37776855325492|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:35:22-04:00",Merthyr Tydfil register office ,Services,Dianne green ,"Register office, ty penderyn, 26 high street",Merthyr Tydfil,Cf47 8dp,registrars@merthyr.gov.uk,01685 727333,http://www.merthyr.gov.uk,@,No,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,10am,3pm,,,"Registration of births, deaths, marriages, civil partnerships"
"51.7437781752105 -3.37822229307273|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:06:25-04:00",Anne's pantry ,Eating and Drinking,Sharon England ,144 high street,Merthyr Tydfil,Cf47 8dp,annespantry@googlemail.co.uk,01685 383447,,@,Yes,,,10am,3pm,10am,3pm,10am,3pm,10am,3pm,10am,3pm,,,"Breakfasts, snacks, burgers, coffees, cakes, cold, hot drinks, gluten free foods available if requested "
"51.7420199605082 -3.37726826630733|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T09:04:45-04:00",Merthyr Tydfil housing association ,Services,Karen Dusgate,11-12 lower high street ,Merthyr Tydfil,Cf47 8eb,mtha@mtha.org.uk,01685 352800,http://www.mtha.org.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,,,"Social landlord, rent properties out"
"51.7419855036233 -3.37657529309577|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T08:44:34-04:00",HSS Hire Shops,Shopping,Ian Kendall ,3 lower high street,Merthyr Tydfil,Cf47 8eb,merthyrtydfil317@hss.com,01685 722885,http://www.hss.com,@,No,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,1pm,,,"Small tool hire, domestic, carpet cleaner hire "
"51.746503534758 -3.37831740086441|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:43:55-04:00",Formal for you,Shopping,Mark hicks ,2 Glebeland street,Merthyr Tydfil,Cf47 8au,formalforyou@xln.co.uk,01685 722800,http://www.formalforyou.co.uk,@,Yes,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,,,"School uniform, formal wear, hire, embroidery "
"51.7456953504788 -3.38012428102982|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:28:25-04:00","Management office, st Tydfil shopping centre ",Services,Julie Calderbank ,8a Victoria street,Merthyr Tydfil,Cf47 8ed,juliecalderbank@btconnect.com,01685 384 468,http://www.sttydfilshoppingcentre.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,11am,4pm,"Dominates the town's retail provision, includes the town's prime retail pitches of graham way and new market walk whose tenants include wilkinsons, Iceland, boots and new look "
"51.746535539742 -3.37865893133619|Post Office Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:34:10-04:00",Wyndham Arms ,Eating and Drinking,Kevin jones ,55 Glebeland street ,Merthyr Tydfil,Cf47 8at,,7786301673,,@,No,9am,12am,9am,12am,9am,12am,9am,12am,9am,12am,9am,12am,9am,12am,"Alcohol, soft drinks, music "
"51.7455179521607 -3.38019041582874|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:20:26-04:00",Cosmetics 4 U,Shopping,Steven Morgan,"17 new market walk, st Tydfils square shopping centre ",Merthyr Tydfil,Cf47 8el,sales@cosmetics4uonline.co.uk,01685 721000,http://www.cosmetics4uonline.co.uk,@cosmetics4u_,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Cosmetics, fancy dress, fragrance, jewellery, hair extensions, hen and stag party accessories, celebration items, womens and mens accessories "
"51.7465251168773 -3.3791943984898|Glebeland Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T06:53:27-04:00",VNU ,Eating and Drinking,Michael doran ,5 Glebeland street,Merthyr Tydfil,Cf47 8au,michaeljdoran@yahoo.co.uk,7595630717,,@,No,9am,11pm,9am,11pm,9am,11pm,9am,11pm,9am,11pm,9am,11pm,12pm,11pm,"Alcohol, soft drinks, DJ Monday, Friday, Saturday"
"51.7458328971225 -3.37867842038547|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T04:51:37-04:00",RJM Solicitors ,Services,Reynold mahoney,34 Victoria street,Merthyr Tydfil,Cf47 8bw,,01685 373721,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,,,"Conveyancing, wills, probate, family, divorce "
"51.7433206569046 -3.37794136107973|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:25:25-04:00",Rathbone UK,Services,Kelly Cross,148 high street,Merthyr Tydfil,Cf47 8dp,kelly.cross@rathboneuk.org,01685 383173,,@,No,9am,5pm,9am,4pm,9am,5pm,9am,5pm,9am,5pm,,,,,"Train youngsters, school leavers, offer courses providing qualifications, nvqs in care, health etc to help them move onto higher education or jobs "
"51.7439909028013 -3.37822498631751|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:01:37-04:00",Smiles dental centre ,Services,Amanda grimes,29 lower high street,Merthyr Tydfil,Cf47 8dp,mandy@smilesdentalcentre.co.uk,01685 722333,http://www.smilesdentalcentre.co.uk,@,Yes,9am,5pm,9am,5pm,9am,7pm,9am,5pm,9am,5pm,,,,,"Nhs, private dentistry, cosmetic braces, botox, fillers, implants, teeth whitening "
"51.7467884796938 -3.37943973811636|Castle Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T07:10:08-04:00",Heads ,Things To Do,Emma headington,14 Glebeland street ,Merthyr Tydfil,Cf47 8au,,01685 385888,,@,No,9am,5pm,,,9am,5pm,9am,5pm,9am,6pm,9am,4pm,,,"Gents hairdressing, children, sale of men's hair products "
"51.744001066007 -3.37888621160878|Swan Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-06T05:48:45-04:00",Pisces health and beauty ,Shopping,Helen cooper/Jane thomas,"Shop 2, Picton house, swan street",Merthyr Tydfil,Cf47 8eu,piscesfootspa@hotmail.co.uk,07587 173228,,@,Yes,10am,5pm,,,10am,5pm,10am,5pm,10am,5pm,10am,4pm,,,"Nails, waxing, tinting, facial, spray tan, semi permanent eyelashes, inch loss body wraps, weekend lashes "
"51.744073752476 -3.37940888093138|Swan Street, Merthyr Tydfil CF47, UK|GPS|2013-09-06T06:01:51-04:00",The college Merthyr Tydfil,Services,,Ynys fach,Merthyr Tydfil,Cf48 1ar,,01685 726000,http://www.merthyr.ac.uk,@,No,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,,,,,"Adult courses, a levels, gcses, nvqs "
