Name,Category,Contact,Address,Town,PostCode,Email,Telephone,Website,Twitter,Facebook,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Services
The castle hotel,Places To Stay,,Castle street,Merthyr Tydfil,Cf47 8bg,castleinfo@castlehotelwales.com,01685 386868,http://www.castlehotelwales.com,@,No,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,"24 hour reception, accommodation, executive suite, bar, functions and events, buffet for parties "
All sorts crafts ,Shopping,Melanie thomas ,13 Glebeland street,Merthyr Tydfil,Cf47 8au,allsortscrafts@hotmail.co.uk,7944189192,,@,Yes,10am,1pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,,,"Unique hand crafted gifts, baby gifts, material, wedding, voils, table settings, jewellery making, free help service on home crafts "
Dominos,Eating and Drinking,,"Unit 1, glove and shears house, court street",Merthyr Tydfil,,,01685 374448,,@,No,11am,11pm,11am,11pm,11am,11pm,11am,11pm,11am,12am,11am,12am,11am,11pm,"Pizzas, meal deals, wedges, desserts, gluten free bases available "
Farmfoods,Shopping,,1 court street,Merthyr Tydfil,Cf47 8du,,01685 382014,http://www.farmfoods.co.uk,@,No,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,10pm,8am,7pm,10am,4pm,"Frozen foods, household goods, pet food, soft drinks, chilled foods "
Martin and Co,Services,Sam zalewski,20 church street,Merthyr Tydfil,Cf47 0ay,merthyrtydfil@martinco.com,01685 375110,http://www.merthyr-tydfil-martinco.co.uk,@,Yes,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,1pm,,,Houses for let 
The belle vue ,Eating and Drinking,Tanya Dudley ,1 Glebeland street,Merthyr Tydfil,Cf47 8au,,7713031357,,@,Yes,12pm,12am,12pm,12am,12pm,12am,12pm,12am,12pm,12am,12pm,1am,12pm,12am,"Alcohol, bar snacks, function room available, live music, discos, soft drinks "
Natural health and beauty,Things To Do,,,Merthyr Tydfil,,,01685 721861,,@,No,,,10am,6pm,10am,6pm,10am,6pm,10am,6pm,10am,4pm,,,"Manicure, pedicure, nail art, wading, eyelashes, tinting, perking, make up, spray tan, electrolysis, head massage, reflexology "
The Winchester bar,Eating and Drinking,John Andrews,Castle street ,Merthyr Tydfil,Cf47 8bg,andrewsscouse@yahoo.co.uk,7534966609,,@,No,11am,12am,11am,12am,11am,12am,11am,12am,11am,12am,11am,12am,11am,11pm,"Alcohol, bar snacks, music "
Merthyr Labour Club,Eating and Drinking,,1 Court Street,Merthyr Tydfil,CF47 8DU,,,,@,Yes,12pm,11pm,12pm,11pm,12pm,11pm,12pm,11pm,12pm,11pm,12pm,12am,11am,11pm,"Alcohol, soft drinks, bar snacks, live entertainment, bingo, outdoor seating, parking, near train station "
Gloden tanning and beauty ,Things To Do,Bethan schofield,"Units 1-2, old way house, castle street",Merthyr Tydfil,Cf47 8ux,,01685 388538,http://www.gloden.co.uk,@,Yes,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,6pm,10am,7pm,"Sunbeds, vibration plates, spray tanning coming soon "
Church street dental practice ,Services,Sarah Wilson ,3 church street,Merthyr Tydfil,Cf47 0ba,sjwilson29@gmail.com,01685 723869,http://www.churchstreetdentalsurgery.co.uk,@,Yes,9am,5pm,9am,6pm,9am,6pm,9am,5pm,8am,12pm,,,,,"Routine dental care, bleaching, dentures, cosmetic deal care, emergency dentistry care "
New Interior Design,Shopping,Andrew Denton ,19 lower high street,Merthyr Tydfil,Cf47 8eb,,01685 268281,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,1pm,,,"Kitchens, bedrooms, bathrooms interior fittings"
Central bus station cafe ,Eating and Drinking,Sharon hellard,Bus station,Merthyr Tydfil,Cf47 1bb,jj1197@hotmail.com,01685 269367,,@,No,5am,4pm,5am,4pm,5am,4pm,5am,4pm,5am,4pm,5am,4pm,,,"Hot, cold drinks, hot meals, salads, snacks"
Social services,Services,,Post office lane,Merthyr Tydfil,Cf47 8bf,,01685 724500,http://www.direct.gov,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,4pm,,,,,"Children, adults, vulnerability, financial help, social workers, general public services "
